date,transactions
5/25/2020,1969500
2/10/2021,1676681
12/4/2022,2211323
7/7/2023,2093708
7/16/2018,2064618
10/26/2018,2317468
3/21/2019,2199386
5/28/2019,2421621
12/5/2019,2588746
4/23/2020,1540897
5/19/2020,1917857
10/30/2020,1990491
1/19/2021,1692392
8/10/2022,2049477
2/1/2023,1883353
7/20/2018,2285719
9/15/2018,2326229
6/27/2019,2524318
12/23/2019,4088057
6/10/2020,1897388
7/12/2020,1655100
11/19/2020,1752228
5/27/2021,2031497
10/5/2021,1882936
4/15/2022,2633283
9/9/2022,2234659
11/28/2022,2070376
4/4/2023,1770063
9/1/2023,2186649
12/12/2023,1893709
2/21/2020,2554410
5/6/2020,1684854
12/24/2020,2365083
5/16/2021,2018893
7/2/2021,2390089
8/3/2021,1937662
7/22/2023,1971016
8/14/2018,2045741
8/24/2018,2321722
2/22/2019,2612506
3/25/2019,2243569
7/3/2019,3164657
5/21/2020,2085237
6/28/2020,1880711
2/1/2021,1632674
8/20/2021,2122002
12/21/2021,2717943
3/25/2023,1791670
6/30/2023,2258684
11/12/2018,2041075
1/10/2020,2883399
3/3/2020,2282048
8/23/2020,1622486
12/20/2020,2059475
1/13/2022,1993436
6/23/2022,2173263
9/28/2022,1960514
10/23/2022,2061298
11/22/2022,2596842
2/6/2024,1684023
8/16/2018,2085056
11/8/2018,2105727
2/21/2019,2200913
5/11/2019,3254570
2/27/2020,2128767
4/20/2020,1467516
7/29/2020,1576159
11/5/2020,1632997
3/14/2021,1834416
2/10/2022,1997093
4/6/2023,1962808
2/17/2024,1848834
10/2/2018,1967925
1/24/2020,2443592
1/24/2021,1722316
12/22/2021,2955537
2/6/2022,2065811
9/24/2022,2200004
11/24/2022,1650295
8/14/2023,1811551
11/15/2023,1831303
12/15/2023,2227978
11/29/2018,2036240
7/22/2019,2473821
2/19/2020,2205486
1/22/2021,1913039
2/6/2021,2047433
3/12/2021,1932212
6/19/2021,2297880
7/10/2018,2031170
1/3/2019,2003780
2/11/2019,2012158
5/15/2021,2121905
5/24/2021,1998253
7/24/2021,2126393
2/4/2022,1788153
4/10/2023,1775193
5/2/2023,1746142
4/21/2019,2327023
10/9/2020,1667342
9/28/2021,1843277
10/18/2021,2021382
12/28/2021,2093759
10/18/2022,1936470
9/20/2023,1776249
1/18/2024,1761198
3/8/2024,1850222
5/19/2019,2705175
12/11/2019,2488922
4/9/2020,1545879
7/28/2020,1564594
11/10/2020,1636100
11/7/2021,2205389
11/24/2021,3099702
3/9/2022,1947343
6/3/2022,2391377
2/29/2024,36190
8/17/2018,2342799
12/31/2018,2407034
4/5/2019,2530273
4/22/2019,2320603
9/13/2020,1587279
7/1/2021,2129427
10/22/2021,2265773
4/19/2022,1960030
7/22/2022,2348073
8/18/2022,2072924
4/17/2023,1731292
7/12/2023,1856345
9/10/2023,1881238
3/3/2019,2503320
8/13/2019,2445208
8/31/2019,2856776
11/13/2019,2403799
4/17/2020,1593282
8/12/2020,1582256
6/2/2021,1914417
9/29/2021,1860754
11/29/2021,2120917
2/7/2022,1915552
10/7/2022,2255426
10/20/2022,2022489
1/12/2023,1879425
4/11/2023,1732361
6/11/2023,1919186
